scope_id,repository,owner,delegate_owner,privileged_path,review_cadence,break_glass_path,status
cas-workstation-root,OgeonX-Ai/cas-workstation,Portfolio maintainer,Portfolio maintainer,GitHub admin and workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
gemini-nano,Coding-Autopilot-System/gemini-nano,Portfolio maintainer,Portfolio maintainer,GitHub admin and Pages deployment settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
promptimprover,Coding-Autopilot-System/Promptimprover,Portfolio maintainer,Portfolio maintainer,GitHub admin workflow and release settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
autogen,Coding-Autopilot-System/autogen,Portfolio maintainer,Portfolio maintainer,GitHub admin workflow and release settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
autopilot-core,Coding-Autopilot-System/autopilot-core,Portfolio maintainer,Portfolio maintainer,GitHub admin workflow and release settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
autopilot-demo,Coding-Autopilot-System/autopilot-demo,Portfolio maintainer,Portfolio maintainer,GitHub admin and Pages deployment settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
cas-contracts,Coding-Autopilot-System/cas-contracts,Portfolio maintainer,Portfolio maintainer,GitHub admin branch and workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
cas-evals,Coding-Autopilot-System/cas-evals,Portfolio maintainer,Portfolio maintainer,GitHub admin branch and workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
cas-platform,Coding-Autopilot-System/cas-platform,Portfolio maintainer,Portfolio maintainer,GitHub admin branch and workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
cas-reference-product,Coding-Autopilot-System/cas-reference-product,Portfolio maintainer,Portfolio maintainer,GitHub admin branch and workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
cas-workstation-portfolio,Coding-Autopilot-System/cas-workstation,Portfolio maintainer,Portfolio maintainer,GitHub admin and workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
ci-autopilot,Coding-Autopilot-System/ci-autopilot,Portfolio maintainer,Portfolio maintainer,GitHub admin branch and runner workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
cloud-security-service-model,Coding-Autopilot-System/cloud-security-service-model,Portfolio maintainer,Portfolio maintainer,GitHub admin branch and documentation settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
gsd-orchestrator,Coding-Autopilot-System/gsd-orchestrator,Portfolio maintainer,Portfolio maintainer,GitHub admin branch and workflow settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
org-dotgithub,Coding-Autopilot-System/.github,Portfolio maintainer,Portfolio maintainer,Organization policy and shared documentation settings,quarterly,Escalate through portfolio maintainer and record incident in control system,active
