review_id,scope,review_date,reviewer,result,evidence_ref,notes
CAS-ACCESS-CAS-WORKSTATION-ROOT,OgeonX-Ai/cas-workstation,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin and workflow settings with cadence quarterly.
CAS-ACCESS-GEMINI-NANO,Coding-Autopilot-System/gemini-nano,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin and Pages deployment settings with cadence quarterly.
CAS-ACCESS-PROMPTIMPROVER,Coding-Autopilot-System/Promptimprover,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin workflow and release settings with cadence quarterly.
CAS-ACCESS-AUTOGEN,Coding-Autopilot-System/autogen,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin workflow and release settings with cadence quarterly.
CAS-ACCESS-AUTOPILOT-CORE,Coding-Autopilot-System/autopilot-core,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin workflow and release settings with cadence quarterly.
CAS-ACCESS-AUTOPILOT-DEMO,Coding-Autopilot-System/autopilot-demo,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin and Pages deployment settings with cadence quarterly.
CAS-ACCESS-CAS-CONTRACTS,Coding-Autopilot-System/cas-contracts,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin branch and workflow settings with cadence quarterly.
CAS-ACCESS-CAS-EVALS,Coding-Autopilot-System/cas-evals,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin branch and workflow settings with cadence quarterly.
CAS-ACCESS-CAS-PLATFORM,Coding-Autopilot-System/cas-platform,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin branch and workflow settings with cadence quarterly.
CAS-ACCESS-CAS-REFERENCE-PRODUCT,Coding-Autopilot-System/cas-reference-product,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin branch and workflow settings with cadence quarterly.
CAS-ACCESS-CAS-WORKSTATION-PORTFOLIO,Coding-Autopilot-System/cas-workstation,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin and workflow settings with cadence quarterly.
CAS-ACCESS-CI-AUTOPILOT,Coding-Autopilot-System/ci-autopilot,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin branch and runner workflow settings with cadence quarterly.
CAS-ACCESS-CLOUD-SECURITY-SERVICE-MODEL,Coding-Autopilot-System/cloud-security-service-model,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin branch and documentation settings with cadence quarterly.
CAS-ACCESS-GSD-ORCHESTRATOR,Coding-Autopilot-System/gsd-orchestrator,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed GitHub admin branch and workflow settings with cadence quarterly.
CAS-ACCESS-ORG-DOTGITHUB,Coding-Autopilot-System/.github,2026-07-09,Portfolio maintainer,passed,evidence/compliance/snapshots/access-review-2026-07-09.json,Reviewed Organization policy and shared documentation settings with cadence quarterly.
