control_id,control_family,framework_pressure,control_objective,owner,evidence_ref,retention_rule,status
CAS-CF-001,asset_inventory,"ISO 27001; NIS2; NIST CSF Identify",Maintain an authoritative portfolio asset inventory with ownership and classification,Portfolio maintainer,evidence/compliance/asset-inventory.csv,retain latest plus quarterly snapshots,Partial
CAS-CF-002,risk_management,"ISO 27001; DORA; NIS2; NIST CSF Govern",Track material portfolio risks with owner and treatment,Portfolio maintainer,evidence/compliance/risk-register.csv,retain active register plus previous quarter,Partial
CAS-CF-003,incident_management,"ISO 27001; DORA; NIS2; NIST CSF Respond",Maintain incident handling standard and supporting evidence,Portfolio maintainer,evidence/compliance/incident-management.csv,retain current year of incident evidence and annual superseded policy copy,Partial
CAS-CF-004,bcdr,"ISO 27001; DORA; NIS2; NIST CSF Recover",Define continuity objectives and capture recovery test evidence,Portfolio maintainer,evidence/compliance/bcdr-objectives.csv,retain current year plus previous year,Partial
CAS-CF-005,supply_chain,"SSDF; SLSA; ISO 27001; CRA",Capture dependency governance and supply-chain controls,Portfolio maintainer,evidence/compliance/supplier-review-log.csv,retain current month plus prior quarter snapshots,Partial
CAS-CF-006,release_provenance,"SLSA; SSDF; DORA",Publish attested release evidence for the root workstation repo,Portfolio maintainer,.github/workflows/compliance.yml,retain successful workflow artifacts for repo maximum,Partial
CAS-CF-007,access_review,"ISO 27001; DORA; NIS2",Capture periodic access-review evidence for managed repositories,Portfolio maintainer,evidence/compliance/access-governance.csv,retain current year plus previous year,Partial
CAS-CF-008,change_management,"ISO 27001; DORA",Capture branch-governance and change-control evidence across repositories,Portfolio maintainer,evidence/compliance/change-management.csv,retain current quarter plus previous quarter,Partial
CAS-CF-009,evidence_retention,"ISO 27001; DORA; SOC 2",Define retention expectations for audit evidence artifacts,Portfolio maintainer,evidence/compliance/evidence-retention.csv,retain current baseline and annual superseded copy,Partial
CAS-CF-010,vulnerability_management,"ISO 27001; NIST CSF Protect; SSDF",Capture disclosure policy presence and baseline code-scanning coverage,Portfolio maintainer,evidence/compliance/vulnerability-management.csv,retain current month plus prior quarter snapshots,Partial
