review_id,repository,review_date,review_window_days,emergency_path_documented,emergency_change_count,latest_emergency_change_date,latest_emergency_change_ref,status,notes
CAS-EMERGENCY-cas-workstation,OgeonX-Ai/cas-workstation,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-gemini-nano,Coding-Autopilot-System/gemini-nano,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-Promptimprover,Coding-Autopilot-System/Promptimprover,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-autogen,Coding-Autopilot-System/autogen,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-autopilot-core,Coding-Autopilot-System/autopilot-core,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-autopilot-demo,Coding-Autopilot-System/autopilot-demo,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-cas-contracts,Coding-Autopilot-System/cas-contracts,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-cas-evals,Coding-Autopilot-System/cas-evals,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-cas-platform,Coding-Autopilot-System/cas-platform,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-cas-reference-product,Coding-Autopilot-System/cas-reference-product,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-cas-workstation,Coding-Autopilot-System/cas-workstation,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-ci-autopilot,Coding-Autopilot-System/ci-autopilot,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-cloud-security-service-model,Coding-Autopilot-System/cloud-security-service-model,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-gsd-orchestrator,Coding-Autopilot-System/gsd-orchestrator,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
CAS-EMERGENCY-.github,Coding-Autopilot-System/.github,2026-07-09,365,true,0,,,none-recorded,No merged PRs labeled emergency-change in the last 365 days
