repository,review_date,attestation_workflow,local_provenance_artifact,sbom_linked,status
OgeonX-Ai/cas-workstation,2026-07-09,true,true,true,attested
Coding-Autopilot-System/gemini-nano,2026-07-09,false,false,true,evidence-only
Coding-Autopilot-System/Promptimprover,2026-07-09,false,false,true,evidence-only
Coding-Autopilot-System/autogen,2026-07-09,false,false,true,evidence-only
Coding-Autopilot-System/autopilot-core,2026-07-09,false,false,false,gap
Coding-Autopilot-System/autopilot-demo,2026-07-09,false,false,false,gap
Coding-Autopilot-System/cas-contracts,2026-07-09,false,false,true,evidence-only
Coding-Autopilot-System/cas-evals,2026-07-09,false,true,true,evidence-only
Coding-Autopilot-System/cas-platform,2026-07-09,false,false,true,evidence-only
Coding-Autopilot-System/cas-reference-product,2026-07-09,false,true,false,evidence-only
Coding-Autopilot-System/cas-workstation,2026-07-09,false,false,false,gap
Coding-Autopilot-System/ci-autopilot,2026-07-09,false,false,true,evidence-only
Coding-Autopilot-System/cloud-security-service-model,2026-07-09,false,false,false,gap
Coding-Autopilot-System/gsd-orchestrator,2026-07-09,false,false,true,evidence-only
Coding-Autopilot-System/.github,2026-07-09,false,false,false,gap
