target_id,repository,ecosystem,source_path,generated_at,sbom_path,status,notes
root-python,OgeonX-Ai/cas-workstation,python-requirements,requirements.txt,2026-07-09,evidence/compliance/sbom/root-python.cdx.json,generated,
gemini-api-server,Coding-Autopilot-System/gemini-nano,python-requirements,gemini-nano/api-server/requirements.txt,2026-07-09,evidence/compliance/sbom/gemini-api-server.cdx.json,generated,
gemini-python-mediapipe,Coding-Autopilot-System/gemini-nano,python-requirements,gemini-nano/python-mediapipe/requirements.txt,2026-07-09,evidence/compliance/sbom/gemini-python-mediapipe.cdx.json,generated,
gemini-chrome-bridge,Coding-Autopilot-System/gemini-nano,npm-lockfile,gemini-nano/chrome-bridge,2026-07-09,evidence/compliance/sbom/gemini-chrome-bridge.cdx.json,generated,
autogen-python,Coding-Autopilot-System/autogen,python-requirements,portfolio/autogen/requirements.txt,2026-07-09,evidence/compliance/sbom/autogen-python.cdx.json,generated,
ci-autopilot-python,Coding-Autopilot-System/ci-autopilot,python-requirements,portfolio/ci-autopilot/requirements.txt,2026-07-09,evidence/compliance/sbom/ci-autopilot-python.cdx.json,generated,
cas-contracts-npm,Coding-Autopilot-System/cas-contracts,npm-lockfile,portfolio/cas-contracts,2026-07-09,evidence/compliance/sbom/cas-contracts-npm.cdx.json,generated,
promptimprover-universal-refiner,Coding-Autopilot-System/Promptimprover,npm-lockfile,portfolio/Promptimprover/universal-refiner,2026-07-09,evidence/compliance/sbom/promptimprover-universal-refiner.cdx.json,generated,
promptimprover-mcp-server,Coding-Autopilot-System/Promptimprover,npm-lockfile,portfolio/Promptimprover/mcp-server,2026-07-09,evidence/compliance/sbom/promptimprover-mcp-server.cdx.json,generated,
promptimprover-gemini-extension,Coding-Autopilot-System/Promptimprover,npm-lockfile,portfolio/Promptimprover/gemini-extension,2026-07-09,evidence/compliance/sbom/promptimprover-gemini-extension.cdx.json,generated,
cas-platform-graphical-console,Coding-Autopilot-System/cas-platform,npm-lockfile,portfolio/cas-platform/src/graphical-console,2026-07-09,evidence/compliance/sbom/cas-platform-graphical-console.cdx.json,generated,
cas-evals-ui,Coding-Autopilot-System/cas-evals,npm-lockfile,portfolio/cas-evals/tests/ui,2026-07-09,evidence/compliance/sbom/cas-evals-ui.cdx.json,generated,
gsd-orchestrator-dotnet,Coding-Autopilot-System/gsd-orchestrator,dotnet-csproj,portfolio/gsd-orchestrator/src/GsdOrchestrator/GsdOrchestrator.csproj,2026-07-09,evidence/compliance/sbom/gsd-orchestrator-dotnet.cdx.json,generated,
